41.05,2.75,4.0098
41.05,2.85,4.2149
41.05,2.95,3.3161
41.05,3.05,2.6019
40.95,0.25,2.3114
40.95,0.35,2.2653
40.95,0.45,2.2159
40.95,0.55,2.0166
40.95,0.65,1.7146
40.95,0.75,2.1189
40.95,0.85,2.2462
40.95,0.95,2.4154
40.95,1.05,3.2668
40.95,1.15,4.2681
40.95,1.25,3.4556
40.95,1.35,2.2935
40.95,1.45,3.1645
40.95,1.55,3.5328
40.95,1.65,5.3996
40.95,1.75,6.9872
40.95,1.85,8.0659
40.95,1.95,8.3435
40.95,2.05,5.6588
40.95,2.15,4.9575
40.95,2.25,4.2031
40.95,2.35,3.77
40.95,2.45,4.2483
40.95,2.55,4.1095
40.95,2.65,3.3535
40.95,2.75,3.5587
40.95,2.85,3.6822
40.95,2.95,3.4925
40.95,3.05,3.0902
40.85,0.25,1.8117
40.85,0.35,1.2987
40.85,0.45,1.1834
40.85,0.55,1.4734
40.85,0.65,1.3907
40.85,0.75,2.2101
40.85,0.85,2.6451
40.85,0.95,3.0096
40.85,1.05,2.8528
40.85,1.15,2.9129
40.85,1.25,2.2586
40.85,1.35,2.0376
40.85,1.45,2.6401
40.85,1.55,3.0495
40.85,1.65,4.2416
40.85,1.75,6.4038
40.85,1.85,6.4837
40.85,1.95,4.7505
40.85,2.05,3.9272
40.85,2.15,4.3168
40.85,2.25,3.8016
40.85,2.35,3.4445
40.85,2.45,4.0641
40.85,2.55,4.1698
40.85,2.65,3.4525
40.85,2.75,3.2666
40.85,2.85,3.0578
40.85,2.95,3.1274
40.85,3.05,3.0943
40.75,0.25,1.1119
40.75,0.35,0.89377
40.75,0.45,1.0245
40.75,0.55,2.3838
40.75,0.65,2.9966
40.75,0.75,4.9283
40.75,0.85,4.6703
40.75,0.95,3.5066
40.75,1.05,2.6958
40.75,1.15,2.3665
40.75,1.25,2.4908
40.75,1.35,2.4312
40.75,1.45,3.0792
40.75,1.55,3.8302
40.75,1.65,4.558
40.75,1.75,5.3669
40.75,1.85,4.8658
40.75,1.95,4.4293
40.75,2.05,3.8498
40.75,2.15,3.9718
40.75,2.25,3.4701
40.75,2.35,3.344
40.75,2.45,3.5855
40.75,2.55,3.8111
40.75,2.65,3.3199
40.75,2.75,3.0202
40.75,2.85,2.4597
40.75,2.95,2.4875
40.75,3.05,2.7716
40.65,0.25,0.97833
40.65,0.35,0.94665
40.65,0.45,1.4454
40.65,0.55,2.8408
40.65,0.65,4.0541
40.65,0.75,4.3747
40.65,0.85,2.9532
40.65,0.95,1.9947
40.65,1.05,2.5252
40.65,1.15,3.1274
40.65,1.25,3.1863
40.65,1.35,3.5376
40.65,1.45,3.4824
