time,lat,lon,CO,NO2,SO2,O3,PM10,PM25
2020-05-25 08:00:00+00:00,36.748971,-4.552127,0.0,7.52,5.24,72.0,24.0,
2020-05-25 08:00:00+00:00,36.510071,-4.882447,0.0,11.28,2.62,74.0,45.0,
2020-05-25 08:00:00+00:00,37.373639,-6.005538,0.0,20.68,5.24,46.0,28.0,
2020-05-25 08:00:00+00:00,37.397712,-6.000886,0.0,11.28,5.24,54.0,27.0,
2020-05-25 08:00:00+00:00,37.400511,-5.954986,0.0,11.28,0.0,70.0,25.0,
2020-05-25 08:00:00+00:00,37.350923,-6.052036,0.0,18.799999999999997,2.62,60.0,36.0,
2020-05-25 08:00:00+00:00,37.348532,-5.987704,0.0,37.599999999999994,2.62,46.0,28.0,
2020-05-25 08:00:00+00:00,37.339677,-5.841805,0.0,11.28,5.24,74.0,7.0,
2020-05-25 08:00:00+00:00,37.993992,-5.652697,0.0,1.88,0.0,80.0,19.0,
2020-05-25 08:00:00+00:00,37.542996,-6.056855,0.0,7.52,0.0,60.0,19.0,
2020-05-25 08:00:00+00:00,36.20958,-5.391062,0.0,1.88,0.0,60.0,28.0,
2020-05-25 08:00:00+00:00,37.270642,-6.924275,0.0,7.52,5.24,74.0,14.0,
2015-09-02 23:00:00+00:00,37.270642,-6.924275,,5.64,5.24,,24.0,
2020-05-25 08:00:00+00:00,36.965931,-2.206772,343.5,1.88,2.62,92.0,20.0,
2020-05-25 08:00:00+00:00,37.001501,-1.935577,0.0,1.88,2.62,50.0,17.0,
2020-05-25 09:00:00+00:00,40.664722,-4.700556,,1.88,0.0,74.0,20.0,
2020-05-25 09:00:00+00:00,41.665556,-3.688889,,1.88,2.62,72.0,24.0,
2020-05-25 09:00:00+00:00,42.350833,-3.675556,0.0,5.64,0.0,68.0,25.0,10.0
2020-05-25 09:00:00+00:00,42.336111,-3.636111,0.0,0.0,2.62,68.0,21.0,10.0
2020-05-25 09:00:00+00:00,42.9525,-3.475278,,1.88,2.62,74.0,15.0,
2020-05-25 09:00:00+00:00,42.688056,-2.940556,,3.76,0.0,74.0,20.0,
2020-05-25 09:00:00+00:00,42.802778,-5.623611,0.0,15.04,13.100000000000001,82.0,18.0,
2020-05-25 06:00:00+00:00,43.041111,-5.090556,,1.88,0.0,20.0,21.0,3.1
2020-05-25 09:00:00+00:00,42.603889,-5.587222,0.0,18.799999999999997,10.48,42.0,14.0,
2020-05-25 09:00:00+00:00,42.542778,-6.584722,,9.399999999999999,0.0,92.0,23.0,
2020-05-25 09:00:00+00:00,42.795278,-4.840833,,3.76,18.34,74.0,16.0,4.0
2020-05-25 08:00:00+00:00,42.019444,-4.538333,0.0,0.0,0.0,66.0,17.0,14.0
2020-05-25 09:00:00+00:00,40.570556,-6.2225,,1.88,0.0,72.0,,
2020-05-25 09:00:00+00:00,40.979167,-5.665278,,3.76,0.0,56.0,21.0,
2020-05-25 09:00:00+00:00,40.960833,-5.639722,,0.0,0.0,86.0,57.0,4.0
2020-05-25 09:00:00+00:00,40.955556,-4.110556,0.0,1.88,2.62,86.0,24.0,
2020-05-25 09:00:00+00:00,41.766667,-2.466667,,9.399999999999999,0.0,60.0,20.0,
2020-05-25 09:00:00+00:00,41.316389,-4.909167,0.0,5.64,5.24,70.0,24.0,
2020-05-25 09:00:00+00:00,41.509722,-5.746389,,3.76,0.0,70.0,55.0,
2020-05-11 05:00:00+00:00,42.684444,-2.9175,,11.28,0.0,2.0,7.0,
2020-05-25 09:00:00+00:00,42.715556,-5.638889,0.0,11.28,5.24,80.0,11.0,
2020-05-25 09:00:00+00:00,42.816667,-5.533333,0.0,1.88,5.24,82.0,9.0,
2020-05-25 09:00:00+00:00,42.944167,-5.661944,0.0,0.0,0.0,48.0,14.0,
2020-05-25 08:00:00+00:00,42.849167,-4.835833,,0.0,20.96,56.0,12.0,4.0
2020-05-25 07:00:00+00:00,42.703611,-4.827222,,0.0,0.0,70.0,5.0,3.1
2020-05-25 09:00:00+00:00,41.723611,-2.856944,,7.52,0.0,66.0,20.0,
2020-05-25 08:00:00+00:00,41.961389,-4.494444,0.0,0.0,0.0,62.0,9.0,14.0
2020-05-25 09:00:00+00:00,42.575278,-5.566389,0.0,20.68,18.34,80.0,32.0,
2020-05-25 09:00:00+00:00,41.604167,-4.728889,0.0,3.76,2.62,,21.0,
2020-05-25 09:00:00+00:00,41.612778,-4.740833,0.0,1.88,2.62,,8.0,
2020-05-25 12:00:00+00:00,43.177384,-6.54984,0.0,1.88,2.62,48.0,12.0,9.1
2020-05-25 12:00:00+00:00,43.548986,-5.897221,0.0,5.64,0.0,70.0,8.0,14.9
2020-05-25 12:00:00+00:00,43.554283,-5.918232,0.0,11.28,0.0,42.0,27.0,14.9
2020-05-25 11:00:00+00:00,43.558816,-5.927889,0.0,9.399999999999999,0.0,48.0,27.0,10.0
2020-05-25 12:00:00+00:00,43.361395,-5.859327,0.0,1.88,2.62,70.0,23.0,6.0
2020-05-25 11:00:00+00:00,43.361395,-5.859327,0.0,5.64,0.0,62.0,16.0,16.8
2020-05-25 11:00:00+00:00,43.361395,-5.859327,0.0,1.88,0.0,60.0,21.0,16.8
2020-05-25 11:00:00+00:00,43.535417,-5.667753,0.0,11.28,0.0,70.0,34.0,13.0
2020-05-25 12:00:00+00:00,43.538923,-5.699777,0.0,11.28,0.0,50.0,29.0,8.1
2020-05-25 11:00:00+00:00,43.533874,-5.657645,0.0,11.28,0.0,22.0,43.0,13.0
2020-05-25 11:00:00+00:00,43.536932,-5.647347,0.0,7.52,0.0,56.0,42.0,13.0
2020-05-25 12:00:00+00:00,43.383156,-6.074947,0.0,7.52,0.0,58.0,27.0,10.0
2020-05-25 12:00:00+00:00,43.358621,-5.867929,0.0,5.64,5.24,80.0,22.0,5.0
2020-05-25 12:00:00+00:00,43.361914,-5.849389,0.0,1.88,5.24,80.0,30.0,5.0
2020-05-25 11:00:00+00:00,43.402032,-5.804742,0.0,1.88,2.62,68.0,22.0,10.0
2020-05-25 12:00:00+00:00,43.344039,-5.973725,0.0,3.76,5.24,70.0,20.0,5.0
2020-05-25 11:00:00+00:00,43.575323,-5.958494,0.0,1.88,0.0,56.0,32.0,10.0
2020-05-25 11:00:00+00:00,43.255553,-5.62023,0.0,3.76,0.0,66.0,22.0,12.0
2020-05-25 08:00:00+00:00,42.518248,-2.619475,0.0,1.88,0.0,62.0,18.0,7.2
2020-05-25 08:00:00+00:00,43.144029,-2.963385,0.0,11.28,2.62,42.0,17.0,26.8
2020-05-25 08:00:00+00:00,42.849013,-2.393703,0.0,3.76,0.0,54.0,12.0,7.2
2020-05-25 09:00:00+00:00,42.875167,-3.231733,0.0,1.88,0.0,70.0,10.0,6.0
2020-05-25 09:00:00+00:00,42.854781,-2.68071,0.0,9.399999999999999,0.0,54.0,15.0,7.2
2020-05-25 09:00:00+00:00,42.843703,-2.661231,0.0,3.76,0.0,54.0,15.0,9.1
2020-05-25 09:00:00+00:00,42.856048,-2.667785,0.0,5.64,0.0,54.0,18.0,3.1
2020-05-25 09:00:00+00:00,43.250605,-2.154887,0.0,1.88,2.62,62.0,25.0,11.0
2020-05-25 09:00:00+00:00,43.18037,-2.26821,0.0,7.52,0.0,58.0,18.0,2.1
2020-05-25 08:00:00+00:00,43.048094,-2.19138,0.0,28.2,0.0,22.0,18.0,10.0
2020-05-25 08:00:00+00:00,43.267431,-1.977716,0.0,20.68,5.24,76.0,24.0,6.0
2020-05-25 01:00:00+00:00,43.321522,-1.900131,0.0,13.16,0.0,76.0,12.0,4.0
